Date,Actual_Food and non-alcoholic beverages,PredictedSent_Food and non-alcoholic beverages,PredictedNoSent_Food and non-alcoholic beverages,Actual_Miscellaneous goods and services,PredictedSent_Miscellaneous goods and services,PredictedNoSent_Miscellaneous goods and services,Actual_Actual rentals for housing,PredictedSent_Actual rentals for housing,PredictedNoSent_Actual rentals for housing,Actual_Maintenance and repair of the dwelling,PredictedSent_Maintenance and repair of the dwelling,PredictedNoSent_Maintenance and repair of the dwelling
2016-01-01,100.76,101.96,101.44,102.89,102.49,101.73,101.11,101.26,100.84,100.67,101.43,101.35
2016-02-01,103.43,102.2,101.67,103.25,102.84,102.05,101.22,101.4,100.99,100.96,101.59,101.54
2016-03-01,102.25,102.38,101.84,103.54,103.13,102.34,101.39,101.53,101.13,101.28,101.75,101.72
2016-04-01,102.3,102.54,101.97,103.55,103.4,102.63,101.5,101.68,101.29,101.5,101.92,101.92
2016-05-01,101.24,102.67,102.1,103.81,103.64,102.89,101.64,101.82,101.44,101.81,102.09,102.11
2016-06-01,99.66,102.81,102.25,103.77,103.88,103.14,101.79,101.96,101.59,101.82,102.28,102.29
2016-07-01,99.65,103.08,102.47,103.44,104.13,103.34,101.95,102.12,101.74,101.84,102.49,102.47
2016-08-01,101.02,103.49,102.78,103.42,104.39,103.54,102.09,102.28,101.89,101.98,102.72,102.65
2016-09-01,105.94,103.95,103.16,103.54,104.6,103.74,102.21,102.42,102.04,102.05,102.95,102.86
2016-10-01,104.48,104.27,103.46,103.4,104.8,103.94,102.31,102.55,102.17,102.51,103.17,103.09
2016-11-01,102.93,104.36,103.57,103.59,104.99,104.11,102.47,102.69,102.31,102.74,103.44,103.35
2016-12-01,104.02,104.5,103.71,103.1,105.17,104.27,102.67,102.82,102.45,103.05,103.7,103.6
2017-01-01,107.16,104.92,104.04,106.43,105.42,104.49,102.82,102.95,102.58,103.74,104.0,103.85
2017-02-01,107.26,105.36,104.42,106.54,105.72,104.75,103.0,103.08,102.71,104.05,104.27,104.1
2017-03-01,106.32,105.63,104.65,106.58,105.95,104.96,103.17,103.2,102.83,104.42,104.58,104.34
2017-04-01,105.19,105.75,104.8,106.12,106.15,105.15,103.32,103.34,102.97,105.21,104.97,104.63
2017-05-01,104.85,105.8,104.9,106.57,106.34,105.33,103.5,103.48,103.1,105.64,105.36,104.96
2017-06-01,104.09,105.95,105.05,106.01,106.52,105.5,103.58,103.61,103.24,106.09,105.78,105.33
2017-07-01,104.39,106.21,105.31,106.27,106.64,105.63,103.64,103.72,103.36,106.55,106.14,105.72
2017-08-01,107.5,106.64,105.73,106.18,106.73,105.75,103.71,103.81,103.46,106.7,106.51,106.14
2017-09-01,108.84,107.05,106.13,106.2,106.82,105.87,103.76,103.89,103.56,107.19,106.94,106.56
2017-10-01,106.16,107.13,106.27,106.5,106.92,105.98,103.79,103.97,103.64,107.51,107.38,106.97
2017-11-01,103.2,107.09,106.3,106.1,107.01,106.1,103.89,104.05,103.72,107.65,107.83,107.41
2017-12-01,104.44,107.27,106.49,106.21,107.08,106.19,103.9,104.12,103.78,107.74,108.26,107.84
2018-01-01,106.0,107.7,106.86,106.11,107.16,106.28,103.98,104.18,103.82,107.97,108.65,108.22
2018-02-01,109.07,108.14,107.21,106.52,107.28,106.34,104.05,104.25,103.87,108.28,108.99,108.54
2018-03-01,107.32,108.35,107.4,106.77,107.35,106.4,104.08,104.31,103.9,108.72,109.28,108.85
2018-04-01,107.86,108.34,107.43,107.03,107.43,106.45,104.12,104.36,103.94,110.27,109.68,109.25
2018-05-01,106.85,108.33,107.46,106.98,107.5,106.51,104.16,104.41,103.97,110.79,110.14,109.68
2018-06-01,105.48,108.4,107.57,107.13,107.56,106.57,104.16,104.45,104.0,111.36,110.59,110.11
2018-07-01,105.8,108.73,107.88,106.85,107.62,106.64,104.18,104.48,104.03,111.87,111.04,110.52
2018-08-01,111.34,109.33,108.41,107.12,107.7,106.72,104.2,104.5,104.06,111.93,111.47,110.92
2018-09-01,115.2,109.89,108.92,107.24,107.8,106.83,104.2,104.51,104.07,112.24,111.9,111.32
2018-10-01,112.16,110.01,109.05,107.04,107.9,106.93,104.21,104.51,104.09,112.59,112.29,111.69
2018-11-01,108.67,109.76,108.88,107.32,107.97,107.02,104.22,104.51,104.11,112.81,112.66,112.06
2018-12-01,108.86,109.64,108.85,107.13,108.04,107.13,104.2,104.49,104.13,113.13,112.97,112.41
2019-01-01,108.8,109.87,109.13,107.85,108.16,107.29,104.19,104.47,104.14,113.48,113.26,112.78
2019-02-01,109.54,110.23,109.5,108.19,108.34,107.47,104.18,104.44,104.13,113.7,113.55,113.14
2019-03-01,108.48,110.43,109.71,108.38,108.49,107.63,104.14,104.41,104.11,114.15,113.83,113.48
2019-04-01,109.4,110.49,109.8,108.62,108.65,107.81,104.1,104.37,104.1,114.69,114.14,113.83
2019-05-01,108.83,110.43,109.77,109.0,108.83,108.0,104.07,104.34,104.08,115.18,114.42,114.13
2019-06-01,107.64,110.29,109.73,108.73,108.96,108.18,104.0,104.29,104.07,115.5,114.68,114.42
2019-07-01,106.68,110.34,109.86,108.81,109.06,108.33,103.98,104.24,104.05,115.73,114.86,114.66
2019-08-01,107.7,110.62,110.17,108.77,109.18,108.5,103.95,104.18,104.03,115.89,115.01,114.89
2019-09-01,110.52,110.89,110.46,108.77,109.31,108.66,103.95,104.1,104.0,115.9,115.14,115.11
2019-10-01,110.74,111.07,110.59,108.85,109.46,108.83,103.96,104.04,103.95,116.29,115.3,115.31
2019-11-01,107.89,111.12,110.56,108.92,109.64,109.0,103.97,104.01,103.92,116.44,115.53,115.53
2019-12-01,109.01,111.16,110.52,108.94,109.79,109.16,103.99,103.98,103.89,116.65,115.82,115.73
2020-01-01,110.36,111.33,110.64,110.11,109.96,109.33,104.05,103.98,103.87,116.98,116.09,115.92
2020-02-01,109.79,111.47,110.8,110.49,110.14,109.52,104.07,103.96,103.85,117.1,116.28,116.1
2020-03-01,111.38,111.58,110.94,110.4,110.26,109.71,104.09,103.91,103.83,117.29,116.47,116.26
2020-04-01,110.91,111.69,111.09,110.16,110.38,109.89,104.12,103.86,103.81,117.4,116.65,116.44
2020-05-01,111.82,111.7,111.15,110.6,110.52,110.09,104.14,103.82,103.79,117.59,116.76,116.61
2020-06-01,112.08,111.75,111.19,110.74,110.68,110.29,104.17,103.78,103.77,117.7,116.94,116.78
2020-07-01,112.62,111.88,111.27,111.01,110.85,110.47,104.23,103.76,103.76,117.95,117.14,116.92
2020-08-01,115.63,112.23,111.51,110.9,111.02,110.65,104.3,103.76,103.75,118.08,117.43,117.07
2020-09-01,119.02,112.67,111.82,111.74,111.19,110.85,104.36,103.77,103.75,118.24,117.83,117.22
2020-10-01,119.09,112.89,112.01,110.95,111.33,111.05,104.47,103.78,103.75,118.39,118.13,117.39
2020-11-01,114.99,112.84,111.98,111.22,111.45,111.23,104.56,103.79,103.75,118.5,118.35,117.57
2020-12-01,115.3,112.75,111.89,111.0,111.55,111.38,104.65,103.82,103.77,118.57,118.53,117.73
2021-01-01,117.43,112.87,111.99,112.34,111.69,111.55,104.75,103.86,103.8,118.98,118.71,117.89
2021-02-01,120.05,113.21,112.27,112.23,111.87,111.74,104.93,103.93,103.83,119.4,118.98,118.05
2021-03-01,120.22,113.56,112.51,112.49,112.04,111.9,105.14,104.03,103.88,120.06,119.39,118.23
2021-04-01,119.66,113.79,112.64,113.15,112.25,112.09,105.29,104.18,103.97,121.33,119.97,118.51
2021-05-01,119.44,113.99,112.74,113.34,112.52,112.33,105.46,104.35,104.09,122.92,120.64,118.89
2021-06-01,118.76,114.32,112.97,112.99,112.84,112.63,105.57,104.57,104.25,124.18,121.45,119.39
2021-07-01,118.98,114.87,113.41,113.08,113.16,112.95,105.72,104.78,104.42,124.84,122.24,119.92
2021-08-01,120.63,115.65,114.07,113.33,113.52,113.3,105.92,105.01,104.61,125.56,123.05,120.5
2021-09-01,122.52,116.44,114.75,113.1,113.91,113.68,106.1,105.24,104.82,125.88,123.85,121.1
2021-10-01,121.22,116.96,115.17,113.25,114.3,114.05,106.28,105.49,105.03,126.43,124.69,121.7
2021-11-01,121.82,117.32,115.44,112.77,114.72,114.43,106.54,105.76,105.27,127.05,125.56,122.35
2021-12-01,122.5,117.78,115.82,113.89,115.14,114.82,106.79,106.02,105.5,127.32,126.41,122.99
2022-01-01,124.19,118.37,116.33,116.32,115.65,115.31,106.94,106.27,105.74,127.82,127.24,123.64
2022-02-01,124.52,118.91,116.84,117.81,116.21,115.88,107.1,106.49,105.97,128.35,127.98,124.27
2022-03-01,124.43,119.26,117.21,117.52,116.72,116.38,107.27,106.68,106.17,129.37,128.59,124.83
2022-04-01,125.27,119.65,117.59,117.24,117.25,116.88,107.37,106.92,106.42,131.25,129.34,125.48
2022-05-01,126.48,120.09,118.02,119.34,117.77,117.36,107.53,107.17,106.68,132.3,130.06,126.1
2022-06-01,126.44,120.54,118.49,120.42,118.3,117.84,107.62,107.41,106.94,133.23,130.66,126.69
2022-07-01,128.34,121.03,119.0,120.88,118.8,118.28,107.74,107.63,107.19,133.87,131.16,127.23
2022-08-01,130.12,121.68,119.62,120.99,119.32,118.71,107.88,107.87,107.44,134.17,131.69,127.77
2022-09-01,131.82,122.28,120.21,121.42,119.84,119.16,108.0,108.1,107.69,134.61,132.22,128.32
2022-10-01,130.3,122.68,120.64,121.92,120.32,119.58,108.07,108.3,107.92,134.95,132.67,128.84
2022-11-01,127.74,122.97,120.97,122.36,120.8,119.97,108.2,108.49,108.15,135.08,133.08,129.35
2022-12-01,128.95,123.32,121.35,123.01,121.23,120.32,108.27,108.65,108.35,135.12,133.42,129.8
2023-01-01,131.04,123.76,121.87,125.17,121.66,120.68,108.34,108.76,108.55,135.63,133.66,130.23
2023-02-01,131.65,124.15,122.33,125.48,122.08,121.05,108.33,108.86,108.72,135.95,133.9,130.62
2023-03-01,132.28,124.44,122.66,125.85,122.42,121.35,108.28,108.96,108.86,136.46,134.15,130.96
2023-04-01,131.64,124.59,122.92,127.12,122.77,121.67,108.25,109.01,108.99,136.69,134.31,131.29
2023-05-01,131.75,124.62,123.08,126.61,123.06,121.91,108.2,109.02,109.09,137.17,134.36,131.53
2023-06-01,132.1,124.82,123.27,126.81,123.33,122.11,108.13,109.09,109.17,137.44,134.51,131.73
2023-07-01,133.23,125.19,123.59,127.14,123.57,122.28,108.06,109.16,109.25,137.81,134.73,131.91
2023-08-01,136.9,125.56,123.98,127.6,123.74,122.4,108.06,109.21,109.31,137.99,134.85,132.04
2023-09-01,139.09,125.79,124.24,127.73,123.8,122.42,108.07,109.24,109.35,138.2,134.87,132.12
2023-10-01,139.54,125.87,124.32,127.67,123.81,122.39,108.08,109.27,109.38,138.39,134.94,132.18
2023-11-01,136.07,125.85,124.3,127.69,123.83,122.33,108.17,109.32,109.4,138.58,135.04,132.25
2023-12-01,136.94,125.97,124.42,128.04,123.96,122.34,108.17,109.36,109.45,138.67,135.22,132.4
2024-01-01,138.8,126.36,124.81,131.14,124.25,122.55,108.17,109.41,109.5,138.86,135.52,132.61
2024-02-01,140.8,126.75,125.22,130.99,124.58,122.84,108.2,109.44,109.54,139.06,135.81,132.79
2024-03-01,141.09,127.02,125.5,131.26,124.84,123.08,108.23,109.48,109.57,139.28,136.06,132.96
2024-04-01,139.42,127.16,125.65,131.98,125.13,123.33,108.26,109.55,109.61,139.61,136.43,133.14
2024-05-01,138.46,127.18,125.7,131.97,125.42,123.58,108.32,109.62,109.65,139.84,136.8,133.31
2024-06-01,137.07,126.44,124.96,132.52,125.32,123.35,108.4,109.5,109.57,139.72,136.94,133.4
2024-07-01,138.05,125.96,124.43,132.69,125.21,123.08,108.45,109.36,109.49,139.92,137.01,133.47
2024-08-01,139.7,125.66,124.0,132.08,125.1,122.82,108.53,109.24,109.42,140.05,137.15,133.6
2024-09-01,141.66,125.15,123.45,131.79,125.01,122.62,108.59,109.1,109.35,140.31,137.4,133.85
2024-10-01,141.45,124.35,122.72,133.02,124.93,122.47,108.67,108.95,109.28,140.71,137.68,134.23
2024-11-01,137.8,123.53,122.09,133.15,124.88,122.39,108.71,108.79,109.22,140.97,138.0,134.67
2024-12-01,140.4,122.93,121.67,132.61,124.8,122.36,108.78,108.59,109.12,141.05,138.29,135.0
2025-01-01,142.13,122.48,121.35,136.26,124.54,122.15,108.84,108.46,108.98,141.65,138.57,135.18
2025-02-01,143.63,122.69,121.52,136.33,124.22,121.96,108.91,108.36,108.89,141.93,138.93,135.27
2025-03-01,144.55,123.33,122.09,136.83,123.91,121.87,108.98,108.27,108.79,142.06,139.22,135.37
2025-04-01,143.66,124.38,122.97,138.45,123.66,121.82,109.06,108.04,108.72,142.53,139.42,135.43
